100	0.5	0.01	2500	0.02	-33.97940009	10000	90
200	0.5	0.01	1250	0.02	-33.97940009	5000	90
500	0.5	0.02	500	0.04	-27.95880017	2000	90
1000	0.5	0.03	200	0.06	-24.43697499	1000	72
2000	0.5	0.09	100	0.18	-14.8945499	500	72
3000	0.5	0.135	60	0.27	-11.37272472	333.3333333	64.8
4000	0.5	0.22	45	0.44	-7.13094647	250	64.8
5000	0.5	0.3	25	0.6	-4.436974992	200	45
6000	0.5	0.3	25	0.6	-4.436974992	166.6666667	54
7000	0.5	0.38	20	0.76	-2.383728154	142.8571429	50.4
8000	0.5	0.4	12	0.8	-1.93820026	125	34.56
9000	0.5	0.38	10	0.76	-2.383728154	111.1111111	32.4
10000	0.5	0.4	10	0.8	-1.93820026	100	36
20000	0.5	0.38	0	0.76	-2.383728154	50	0
30000	0.5	0.4	0	0.8	-1.93820026	33.33333333	0
40000	0.5	0.4	0	0.8	-1.93820026	25	0
50000	0.5	0.4	-1.25	0.8	-1.93820026	20	-22.5
60000	0.5	0.4	-1.25	0.8	-1.93820026	16.66666667	-27
70000	0.5	0.38	-1.25	0.76	-2.383728154	14.28571429	-31.5
80000	0.5	0.38	-1.25	0.76	-2.383728154	12.5	-36
90000	0.5	0.36	-1.25	0.72	-2.853350071	11.11111111	-40.5
100000	0.5	0.3	-1.25	0.6	-4.436974992	10	-45
200000	0.5	0.15	-1	0.3	-10.45757491	5	-72
300000	0.5	0.1	-0.8	0.2	-13.97940009	3.333333333	-86.4
400000	0.5	0.08	-0.5	0.16	-15.91760035	2.5	-72
500000	0.5	0.05	-0.5	0.1	-20	2	-90
